gene_id	gene_name	logCPM	logFC	PValue	FDR	gene_biotype	entrezid	ave_tx_len	gc_content	rankingStat	signedRank	DE
ENSG00000137801	THBS1	7.15972435430202	1.2689064726236534	7.0622469411775355e-12	4.8823551978082126e-8	protein_coding	7057	1527.5	47.782324058919805	11.151057100803543	13013	TRUE
ENSG00000182795	C1orf116	2.6038905363552245	3.7777500339512313	7.503811877058653e-12	4.8823551978082126e-8	protein_coding	79098	4321.5	52.55119750086778	11.12471806239278	13012	TRUE
ENSG00000164188	RANBP3L	5.476608243265117	2.34237135491917	1.8147989771789554e-11	7.346812959868956e-8	protein_coding	202151	2251.75	35.83879205062726	10.741171474174404	13011	TRUE
ENSG00000135373	EHF	7.950305223405817	1.0752218558594244	2.2582995342715608e-11	7.346812959868956e-8	protein_coding	26298	1326	45.010055304172944	10.646218455035596	13010	TRUE
ENSG00000156284	CLDN8	4.042875787426501	1.8937558901523663	2.870539114998924e-10	7.470865100696199e-7	protein_coding	9073	2092	37.3326959847036	9.542036530903154	13009	TRUE
ENSG00000157214	STEAP2	5.2483479014675565	1.0829527194617907	7.116285351154133e-10	1.4883140150813204e-6	protein_coding	261729	3202.9	38.23722251709389	9.147746645755765	13008	TRUE
ENSG00000109906	ZBTB16	2.315234051779528	5.607169094100386	8.063779220209894e-10	1.4883140150813204e-6	protein_coding	7704	2141.777777777778	53.8493463374144	9.093461371369427	13007	TRUE
ENSG00000152661	GJA1	2.697537070676697	1.940772557827357	9.149705771651859e-10	1.4883140150813204e-6	protein_coding	2697	2787.25	41.66292941070946	9.038592871376453	13006	TRUE
ENSG00000100003	SEC14L2	3.0618551583491955	1.9726322973806025	1.097168274460273e-9	1.5863834172835037e-6	protein_coding	23541	1251.0588235294117	55.256723716381416	8.959726758874691	13005	TRUE
ENSG00000127663	KDM4B	5.406794058338413	1.1652126269783456	4.495224459463795e-9	5.849635589100236e-6	protein_coding	23030	2790.9166666666665	61.08506763010956	8.34724861781891	13004	TRUE
ENSG00000164647	STEAP1	3.1903789603386805	1.4050977063060022	1.1230769878505248e-8	1.3286000766271708e-5	protein_coding	26872	993.3333333333334	39.39597315436241	7.949590471474412	13003	TRUE
ENSG00000111961	SASH1	4.9385271069834475	1.005899593578955	2.1721002457883122e-8	2.355461708203609e-5	protein_coding	23328	1673.5454545454545	48.29702862730188	7.663120135258121	13002	TRUE
ENSG00000181744	DIPK2A	6.0180604197687355	0.8744835181067828	2.7565330552006923e-8	2.759289588255893e-5	protein_coding	205428	1696.2857142857142	42.546740778170786	7.559636795274251	13001	TRUE
ENSG00000167291	TBC1D16	5.751447325240974	0.753118644152553	4.9557627546244794e-8	4.606381480423454e-5	protein_coding	125058	2928.1111111111113	58.691610063370426	7.30488949261552	13000	TRUE
ENSG00000125430	HS3ST3B1	2.1640338537978896	2.1077160853646797	6.408745074682473e-8	5.010823542338654e-5	protein_coding	9953	4088.5	51.74269291916347	7.193227003320071	12999	TRUE
ENSG00000196208	GREB1	6.164580545305699	0.7877639941657845	6.551484343699408e-8	5.010823542338654e-5	protein_coding	9687	3229.9	53.35459302145576	7.18366029248984	12998	TRUE
ENSG00000170017	ALCAM	7.4512358287484375	0.7257815230337981	6.765292775976677e-8	5.010823542338654e-5	protein_coding	214	2267.5555555555557	38.34770678165424	7.169713404056785	12997	TRUE
