gene_id	gene_name	logCPM	logFC	PValue	FDR	gene_biotype	entrezid	ave_tx_len	gc_content	rankingStat	signedRank	DE
ENSG00000137801	THBS1	7.159724158827761	1.2693259391721197	7.061488532492796e-12	4.871453002874279e-8	protein_coding	7057	1527.5	47.782324058919805	11.15110374182252	13013	TRUE
ENSG00000182795	C1orf116	2.603889906266541	3.7794030303427535	7.487056025319725e-12	4.871453002874279e-8	protein_coding	79098	4321.5	52.55119750086778	11.125688917052786	13012	TRUE
ENSG00000164188	RANBP3L	5.4766075348969725	2.34251715387251	1.8187620019772392e-11	7.319530760197283e-8	protein_coding	202151	2251.75	35.83879205062726	10.740224127759205	13011	TRUE
ENSG00000135373	EHF	7.950305192282673	1.0754284700835621	2.2499133974325006e-11	7.319530760197283e-8	protein_coding	26298	1326	45.010055304172944	10.647834198217982	13010	TRUE
ENSG00000156284	CLDN8	4.042875538232761	1.8939340587784923	2.882227833515677e-10	7.501286159507901e-7	protein_coding	9073	2092	37.3326959847036	9.54027169217998	13009	TRUE
ENSG00000157214	STEAP2	5.248347599521664	1.0829184547577047	7.127961239759093e-10	1.4936880074965523e-6	protein_coding	261729	3202.9	38.23722251709389	9.147034670559918	13008	TRUE
ENSG00000109906	ZBTB16	2.3152321115892383	5.608862700439547	8.052645693689722e-10	1.4936880074965523e-6	protein_coding	7704	2141.777777777778	53.8493463374144	9.094061408899691	13007	TRUE
ENSG00000152661	GJA1	2.697536832540047	1.9407680747789346	9.182743456522261e-10	1.4936880074965523e-6	protein_coding	2697	2787.25	41.66292941070946	9.037027548643154	13006	TRUE
ENSG00000100003	SEC14L2	3.0618550541715823	1.9728327184992558	1.0997693062603374e-9	1.5901442202628635e-6	protein_coding	23541	1251.0588235294117	55.256723716381416	8.958698405319515	13005	TRUE
ENSG00000127663	KDM4B	5.406792729201057	1.1649977656608377	4.527920959994818e-9	5.892183545241256e-6	protein_coding	23030	2790.9166666666665	61.08506763010956	8.344101162857264	13004	TRUE
ENSG00000164647	STEAP1	3.1903787075082692	1.4051685861129448	1.1228694732523725e-8	1.3283545868575567e-5	protein_coding	26872	993.3333333333334	39.39597315436241	7.94967072489693	13003	TRUE
ENSG00000111961	SASH1	4.9385264364656045	1.0059163177340638	2.176258026010571e-8	2.3599704743729634e-5	protein_coding	23328	1673.5454545454545	48.29702862730188	7.662289614199403	13002	TRUE
ENSG00000181744	DIPK2A	6.018060110595657	0.8744756041411056	2.7600681955161303e-8	2.7628282637116463e-5	protein_coding	205428	1696.2857142857142	42.546740778170786	7.559080187293312	13001	TRUE
ENSG00000167291	TBC1D16	5.751446832059351	0.7528954271621661	4.985702450086347e-8	4.634210427355259e-5	protein_coding	125058	2928.1111111111113	58.691610063370426	7.302273644031525	13000	TRUE
ENSG00000125430	HS3ST3B1	2.1640333625792185	2.1079502854602215	6.457148107336204e-8	5.038971753130765e-5	protein_coding	9953	4088.5	51.74269291916347	7.189959252085541	12999	TRUE
ENSG00000196208	GREB1	6.164580141422047	0.7875993071039016	6.576227961929225e-8	5.038971753130765e-5	protein_coding	9687	3229.9	53.35459302145576	7.182023140587837	12998	TRUE
ENSG00000170017	ALCAM	7.451235769606278	0.7260081041663541	6.753601961679966e-8	5.038971753130765e-5	protein_coding	214	2267.5555555555557	38.34770678165424	7.170464539042626	12997	TRUE
ENSG00000096060	FKBP5	6.4550956316039425	0.9809800202131058	6.97006774428293e-8	5.038971753130765e-5	protein_coding	2289	4725.25	42.75964234696578	7.156763000836671	12996	TRUE
ENSG00000125848	FLRT3	5.186674590138493	0.8934617486786179	8.978402255838911e-8	6.149260450275356e-5	protein_coding	23767	3456.6666666666665	39.238187078109924	7.046800940972944	12995	TRUE
ENSG00000183111	ARHGEF37	5.873845797474257	0.7034642446319962	3.6068910260654077e-7	2.3468236461094574e-4	protein_coding	389337	2009.6666666666667	53.72366893348812	6.442866978694498	12994	TRUE
ENSG00000174469	CNTNAP2	3.6791567509638377	0.980792579417389	4.30452033754883e-7	2.667367769167758e-4	protein_coding	26047	2169.6666666666665	44.69772622522661	6.366075235931994	12993	TRUE
