gene_id	gene_name	logCPM	logFC	PValue	FDR	gene_biotype	entrezid	ave_tx_len	gc_content	rankingStat	signedRank	DE
ENSG00000182795	C1orf116	5.032061569448845	4.166088286834272	1.9704697804825165e-18	2.5700837346833464e-14	protein_coding	79098	4321.5	52.55119750086778	17.705430221174083	13043	TRUE
ENSG00000165272	AQP3	4.087769067089134	2.369356087429967	1.5846806932424485e-15	1.0334495140980628e-11	protein_coding	360	1282.857142857143	58.69710467706013	14.800058233214648	13042	TRUE
ENSG00000109814	UGDH	5.758154703135144	1.522037890632526	4.8000794558063535e-14	2.086914544736076e-10	protein_coding	7358	1273.0833333333333	43.261111474766	13.31875157368011	13041	TRUE
ENSG00000096060	FKBP5	4.082580105501197	1.9990297039935245	1.7855282121225631e-13	5.822161117678648e-10	protein_coding	2289	4725.25	42.75964234696578	12.748233283375228	13040	TRUE
ENSG00000100003	SEC14L2	4.634641723287009	2.653435579173445	2.9995351868022194e-13	7.82458748829227e-10	protein_coding	23541	1251.0588235294117	55.256723716381416	12.522946039095952	13039	TRUE
ENSG00000156284	CLDN8	3.7371590594842417	2.3064203187235375	4.160205646842571e-13	9.043593708627943e-10	protein_coding	9073	2092	37.3326959847036	12.38088520084405	13038	TRUE
ENSG00000145088	EAF2	2.7856769343869985	1.8679909290355163	5.910450481636146e-11	1.1012857947425751e-7	protein_coding	55840	836.8	41.204588910133864	10.228379416879676	13037	TRUE
ENSG00000157214	STEAP2	3.2187591123112242	1.3771283102870788	1.2971492974541555e-10	2.1148397858368187e-7	protein_coding	261729	3202.9	38.23722251709389	9.887010035227423	13036	TRUE
ENSG00000164188	RANBP3L	1.0124339248256888	4.403103311565435	2.1838734825944316e-10	2.9631076117859853e-7	protein_coding	202151	2251.75	35.83879205062726	9.660772525034448	13035	TRUE
ENSG00000176387	HSD11B2	3.827970123817481	1.1383689893558708	2.2717991350042057e-10	2.9631076117859853e-7	protein_coding	3291	912	62.66447368421054	9.643630070151012	13034	TRUE
ENSG00000287262	AC021148.3	1.4247808650534264	3.3210442816104555	4.261665254933087e-10	5.053172720008387e-7	lncRNA	NA	2631	45.4960091220068	9.370420666223136	13033	TRUE
ENSG00000241878	PISD	4.994376208723522	1.095950423872018	4.84108477915093e-10	5.261855731205465e-7	protein_coding	23761	1540.3529411764705	58.313602688459476	9.315057311741462	13032	TRUE
ENSG00000154734	ADAMTS1	3.6277020957099113	1.1897046492927117	8.093802985459127e-10	8.120574795334107e-7	protein_coding	9510	2109.6666666666665	45.90772633907407	9.091847371153904	13031	TRUE
ENSG00000198740	ZNF652	7.709290734621285	0.7666350990524514	2.7368425791417006e-9	2.5497598399818e-6	protein_coding	22834	5686.25	41.78061112332383	8.562750182120846	13030	TRUE
ENSG00000156853	ZNF689	4.110438453747581	1.2120700271613087	3.5359500078374168e-9	3.074626396814895e-6	protein_coding	115509	1441	58.362248438584295	8.451493883781653	13029	TRUE
ENSG00000145569	OTULINL	3.8116297483367485	1.3290741978661385	3.8250861147711136e-9	3.1181623871849773e-6	protein_coding	54491	2668	40.31734132933538	8.417358783059667	13028	TRUE
ENSG00000152766	ANKRD22	3.2243766797756157	1.2626582838500735	5.9856106815115445e-9	4.592371771703239e-6	protein_coding	118932	2156	38.613172541743985	8.222891534132941	13027	TRUE
ENSG00000114790	ARHGEF26	4.987676795111954	0.8653559250738903	6.515396976530225e-9	4.72112904249354e-6	protein_coding	26084	3928.6	46.14875528177975	8.186059118022895	13026	TRUE
ENSG00000196139	AKR1C3	1.6438073938593187	2.486649935653656	1.2263916761644015e-8	8.418856122216994e-6	protein_coding	8644	898	44.533306337315246	7.91137080581198	13025	TRUE
ENSG00000173391	OLR1	3.0874623845558378	1.1941525907507702	1.3630478798303116e-8	8.889116748313376e-6	protein_coding	4973	874	43.55107135427503	7.86548888842	13024	TRUE
ENSG00000170477	KRT4	3.2327976872551836	1.038333781834345	1.8359739622952806e-8	1.1334644504425706e-5	protein_coding	3851	1133.2	54.00635368866922	7.7361334822369905	13023	TRUE
ENSG00000135373	EHF	7.6853140246603555	0.5897007908377174	1.9118468074627427e-8	1.1334644504425706e-5	protein_coding	26298	1326	45.010055304172944	7.71854690983137	13022	TRUE
ENSG00000139211	AMIGO2	6.311291215038482	-0.6147923522664323	2.1306450670782994e-8	1.2082610265174895e-5	protein_coding	347902	3225.6666666666665	44.610933140436096	-7.671488891087188	1	TRUE
ENSG00000169116	PARM1	3.876077075903074	1.1054245477531714	2.981830575841137e-8	1.620500675028998e-5	protein_coding	25849	4659.5	44.83313660263974	7.5255170362913475	13021	TRUE
ENSG00000183111	ARHGEF37	3.485276018964405	0.959362040200173	3.3383947822115226e-8	1.7417073257753958e-5	protein_coding	389337	2009.6666666666667	53.72366893348812	7.476462307082148	13020	TRUE
ENSG00000183569	SERHL2	5.096918209372698	0.7261545456635305	3.7341833873664094e-8	1.8732674585161568e-5	protein_coding	253190	1194.1	56.26831923624487	7.427804357472755	13019	TRUE
ENSG00000135821	GLUL	9.768514905017229	0.49868271306751105	5.501630229144207e-8	2.6576949288417738e-5	protein_coding	2752	2848.076923076923	47.98919648885888	7.259508602393958	13018	TRUE
ENSG00000137801	THBS1	5.9888058339544905	0.8218383195536537	6.000471534972808e-8	2.7951482225232263e-5	protein_coding	7057	1527.5	47.782324058919805	7.221814620117991	13017	TRUE
ENSG00000099250	NRP1	5.7669812583895625	0.6212401985795852	7.826188884280717e-8	3.519895917850807e-5	protein_coding	8829	2865.9285714285716	45.634673379358475	7.1064496746552575	13016	TRUE
ENSG00000182585	EPGN	3.036231186421711	1.1609817961835949	1.1679763897584028e-7	5.077972017206282e-5	protein_coding	255324	707.3333333333334	40.84197298146404	6.932565936248688	13015	TRUE
ENSG00000047644	WWC3	6.9383923462982935	0.5908982398482533	1.289246298787067e-7	5.34670551557602e-5	protein_coding	55841	3741	54.55760491847103	6.8896641067071	13014	TRUE
ENSG00000005469	CROT	4.665074409822419	0.7429082365407491	1.3117731848380944e-7	5.34670551557602e-5	protein_coding	54677	1574.4285714285713	39.35214590327558	6.882141251156103	13013	TRUE
ENSG00000196208	GREB1	5.760675654629839	0.6728571199737294	1.533455464746153e-7	6.060866553540628e-5	protein_coding	9687	3229.9	53.35459302145576	6.814328832460012	13012	TRUE
ENSG00000228793	AL033523.1	1.0419743469435947	2.2112575925206457	1.6460494164679937e-7	6.314536040880013e-5	lncRNA	100507336	2142.2285714285713	44.01557790285151	6.783557130862987	13011	TRUE
ENSG00000156675	RAB11FIP1	8.869578805020275	0.48496880416604704	2.0641487947110696e-7	7.692197922690423e-5	protein_coding	80223	3945	50.215462610899884	6.685258999683975	13010	TRUE
ENSG00000099260	PALMD	2.7069025688700843	1.0410374417915593	2.3545850172927375e-7	8.437657873196744e-5	protein_coding	54873	2731.6	40.74535071020645	6.628085623813524	13009	TRUE
ENSG00000149292	TTC12	4.375210688457781	0.7534806148546144	2.393570047598555e-7	8.437657873196744e-5	protein_coding	54970	1124.9545454545455	48.68075477797082	6.620953858409574	13008	TRUE
ENSG00000149177	PTPRJ	5.97739890031013	0.6017636243773918	2.904292512869981e-7	9.806396599366882e-5	protein_coding	5795	3240.625	49.234329797492755	6.536959644746153	13007	TRUE
ENSG00000127663	KDM4B	4.617748000863439	0.7383437604021107	2.9322200979476224e-7	9.806396599366882e-5	protein_coding	23030	2790.9166666666665	61.08506763010956	6.532803433847909	13006	TRUE
